"til_names","CodeNames","CodeNums","FullNames","Names","Depths","counts","Sums"
"DC","DC",1,"\iDacrydium cupressinum","10",10,4,"T"
"DC","DC",1,"\iDacrydium cupressinum","30",30,1,"T"
"DC","DC",1,"\iDacrydium cupressinum","40",40,14,"T"
"DC","DC",1,"\iDacrydium cupressinum","45",45,1,"T"
"DC","DC",1,"\iDacrydium cupressinum","50",50,2,"T"
"DC","DC",1,"\iDacrydium cupressinum","55",55,13,"T"
"DC","DC",1,"\iDacrydium cupressinum","60",60,7,"T"
"DC","DC",1,"\iDacrydium cupressinum","65",65,17,"T"
"DC","DC",1,"\iDacrydium cupressinum","70",70,24,"T"
"DC","DC",1,"\iDacrydium cupressinum","75",75,45,"T"
"DC","DC",1,"\iDacrydium cupressinum","80",80,40,"T"
"DC","DC",1,"\iDacrydium cupressinum","85",85,36,"T"
"DC","DC",1,"\iDacrydium cupressinum","90",90,67,"T"
"DC","DC",1,"\iDacrydium cupressinum","95",95,44,"T"
"DC","DC",1,"\iDacrydium cupressinum","100",100,40,"T"
"DC","DC",1,"\iDacrydium cupressinum","105",105,6,"T"
"DC","DC",1,"\iDacrydium cupressinum","110",110,4,"T"
"DC","DC",1,"\iDacrydium cupressinum","115",115,4,"T"
"DC","DC",1,"\iDacrydium cupressinum","120",120,11,"T"
"DC","DC",1,"\iDacrydium cupressinum","125",125,6,"T"
"DC","DC",1,"\iDacrydium cupressinum","130",130,0.100000001490116,"T"
"DC","DC",1,"\iDacrydium cupressinum","135",135,0,"T"
"DC","DC",1,"\iDacrydium cupressinum","140",140,0,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","10",10,1,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","30",30,0.100000001490116,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","40",40,2,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","45",45,2,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","50",50,0.100000001490116,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","55",55,2,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","60",60,3,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","65",65,3,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","70",70,9,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","75",75,8,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","80",80,9,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","85",85,8,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","90",90,12,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","95",95,3,"T"
