Depth (cm),DACCUP,DACDAC,FUSTYP,PRUTAX,LOPMEN,PODOCA,PHYLLO,HALOCA,ELAEOC,HOHERI,WEINMA,ASTERA,COPROS,MYRSIN,DRATYP,GAULTH,RUBUS,MUEHLE,PENNAN,PSEUDO,ARALIA,POACEA,LEPTYP,GONTYP,EMPTYP,GLEICH,MYRTYP,PHORMI,RANTYP,SPHAGN,GUNNER,NERTER,CAREX,BAUTYP,SCHTYP,PTEESC,CYDTYP,DICSQU,MONOL,HISINC,MICPUS,LYCLAT,LYCFAS,PINACE,KIRTYP,RUMEX,PCHARS,PCHARL,BRYOPH,NEOPTP,PITTOS
1,66,12,2,4,0,5,2,0,6,0,56,0,4,9,0,0,0,0,0,0,1,74,12,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,3,2,2,0,0,8,0,0,4,0,0,0,0
3,47,6,3,12,4,9,13,0,24,1,66,3,7,16,1,1,1,1,0,4,5,27,25,0,0,0,10,2,2,0,0,0,0,4,0,6,2,0,2,0,2,0,0,0,1,0,5,0,0,0,0
5,70,3,1,8,2,11,18,0,13,0,35,0,4,22,0,0,0,0,3,1,0,13,47,0,0,1,13,0,0,0,0,0,0,1,0,4,1,0,3,1,0,1,0,1,3,0,22,0,1,0,0
7,100,9,5,18,0,10,18,0,14,0,37,3,11,23,0,2,0,0,0,1,0,14,55,0,1,0,44,1,0,0,0,0,0,2,0,8,2,1,7,0,2,0,0,0,1,0,10,0,0,0,0
9,95,11,8,8,0,8,29,0,9,0,50,2,8,17,1,0,1,0,0,0,4,9,82,0,1,4,30,1,0,0,0,0,2,2,0,3,0,0,5,0,0,0,0,0,0,1,26,0,0,0,0
11,87,16,4,18,1,5,27,0,12,0,17,0,18,21,0,0,0,2,1,1,1,4,82,0,0,3,26,0,1,0,0,0,2,1,0,1,0,0,5,1,3,0,0,0,0,3,45,0,0,0,0
13,115,10,2,18,3,15,23,1,4,2,19,6,12,14,0,0,0,1,0,1,5,9,104,0,1,5,18,0,2,0,0,0,0,5,1,9,1,0,3,2,4,0,0,0,0,0,26,0,0,0,0
15,178,17,1,17,1,4,6,0,4,1,10,3,8,10,0,0,0,0,0,1,0,9,31,0,0,2,7,1,0,0,0,0,1,1,0,2,4,0,11,1,3,0,0,0,0,0,17,1,0,0,0
17,160,19,1,12,1,6,6,0,3,1,2,3,2,12,0,0,3,0,0,0,1,4,8,0,0,4,7,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,2,5,2,0,0,0
19,103,18,1,22,2,9,14,0,9,1,20,9,9,28,0,0,2,0,0,1,4,19,49,1,1,2,15,0,0,1,0,0,1,0,0,0,1,2,5,1,1,0,0,1,0,0,0,0,0,0,0
21,126,32,0,19,0,17,1,0,9,0,0,4,8,15,0,0,0,0,0,0,0,3,13,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0
23,110,10,1,17,2,8,10,0,11,1,4,14,24,32,0,0,1,5,0,1,0,7,46,0,0,6,8,0,0,0,0,0,0,0,0,0,1,0,5,2,5,0,0,0,0,0,8,0,0,0,0
25,25,4,1,4,0,6,0,0,5,12,1,27,56,75,0,1,2,0,5,1,2,10,1,0,0,8,1,0,0,0,0,0,0,0,1,0,6,1,10,6,5,0,1,0,0,0,16,0,0,1,0
27,10,1,1,5,0,0,0,0,2,1,0,32,95,78,0,0,0,0,3,0,1,10,1,0,0,13,4,0,0,0,8,0,0,1,0,0,1,0,8,12,7,0,4,0,0,0,22,0,0,0,0
29,10,0,1,10,0,2,1,0,3,1,0,42,76,62,0,0,0,0,0,0,0,15,2,0,0,11,6,0,1,0,2,0,1,0,0,0,4,0,5,7,1,0,1,0,0,0,26,0,0,0,0
31,12,3,0,7,1,3,0,0,3,7,0,36,92,74,0,2,0,0,0,0,0,47,4,0,4,11,6,0,0,0,4,0,0,0,0,0,4,0,12,12,0,0,8,0,0,0,53,2,0,0,0
33,13,7,0,5,0,3,0,1,6,1,1,41,93,70,1,0,2,0,0,0,0,29,7,0,0,2,2,0,1,0,10,1,0,0,1,0,2,2,10,4,5,0,0,0,0,0,125,4,0,0,1
