Plot:,Main vegetation type,Total plot harvest wet weight kg,Subsample bag + wet weight (g),Subsample wet weight bag only               (g),Subsample wet weight veg               (g),Subsample bag + dry weight                      (g),Subsample dry weight bag only               (g),Subsample dry weight plants                        (g),Ratio of dry to wet weight,Total plot harvest wet weight (kg) * dry:wet weight ratio,Net live Chi rub dry biomass (kg) per plot,Dry weight other species (kg) per plot,Net live dry biomass (kg) per plot,Dry weight biomass (kg) per m2,,Plot:
1,Chi rub,68.35,663.1,45.3,617.8,324.8,41.8,283,0.46,31.3,28.27,0.072,28.63,7.16,,1
2,Chi rub,25.07,846.6,45.3,801.3,464,41.8,422.2,0.53,13.21,8.7,0.02,9.14,2.29,,2
3,Chi rub,21.92,1299.1,45.3,1253.8,667.2,41.8,625.4,0.5,10.93,7.52,0.05,8.19,2.05,,3
4,Chi rub,34.47,903.9,45.3,858.6,451.5,41.8,409.7,0.48,16.45,10.85,0,11.26,2.82,,4
5,Chi rub,31.2,1064.7,45.3,1019.4,533.9,41.8,492.1,0.48,15.06,9.98,0,10.47,2.62,,5
6,Chi rub,28.71,1201.9,45.3,1156.6,550,41.8,508.2,0.44,12.61,7.69,0,8.2,2.05,,6
7,Chi rub,33.6,1516.1,45.3,1470.8,715.8,41.8,674,0.46,15.4,8.05,0,8.72,2.18,,7
8,Chi rub,33.05,1687.8,45.3,1642.5,730.3,41.8,688.5,0.42,13.85,10.47,0,11.15,2.79,,8
9,Chi rub,18.2,1285,45.3,1239.7,604.9,41.8,563.1,0.45,8.27,3.05,0,3.61,0.9,,9
10,Chi rub,20.63,1062.4,45.3,1017.1,536.5,41.8,494.7,0.49,10.03,5.39,0,5.88,1.47,,10
11,Chi rub,19.02,1511.3,45.3,1466,746.3,41.8,704.5,0.48,9.14,4.96,0,5.66,1.42,,11
12,Chi rub,21.53,1097.3,45.3,1052,546.4,41.8,504.6,0.48,10.33,5.6,0,6.1,1.53,,12
13,Chi rub,14.08,1025.4,45.3,980.1,572.9,41.8,531.1,0.54,7.63,6.08,0,6.62,1.65,,13
14,Chi rub,12.49,1102.8,45.3,1057.5,595.1,41.8,553.3,0.52,6.53,5.87,0,6.42,1.6,,14
15,Chi rub,18.35,1282.7,45.3,1237.4,741.1,41.8,699.3,0.57,10.37,5.13,0,5.83,1.46,,15
16,Chi rub,18.7,1167.7,45.3,1122.4,662.8,41.8,621,0.55,10.35,7.87,0,8.49,2.12,,16
17,Chi rub,15.98,1420.9,45.3,1375.6,710.5,41.8,668.7,0.49,7.77,6.74,0,7.4,1.85,,17
18,Chi rub,11.51,915.6,45.3,870.3,497.5,41.8,455.7,0.52,6.03,5.04,0,5.49,1.37,,18
19,Chi rub,9.08,972.6,45.3,927.3,529,41.8,487.2,0.53,4.77,4.2,0,4.68,1.17,,19
20,Chi rub,17.44,1360.1,45.3,1314.8,707.8,41.8,666,0.51,8.83,7.39,0,8.06,2.01,,20
21,Chi rub,2.99,1412.5,45.3,1367.2,704.7,41.8,662.9,0.48,1.45,1.25,0,1.91,0.48,,21
22,Chi rub,17.09,1542.1,45.3,1496.8,792.4,41.8,750.6,0.5,8.57,8.32,0,9.07,2.27,,22
23,Chi rub,6.92,1695.3,45.3,1650,940.1,41.8,898.3,0.54,3.77,3.44,0,4.34,1.08,,23
24,Chi rub,8.3,1251.8,45.3,1206.5,649,41.8,607.2,0.5,4.18,2.71,0,3.32,0.83,,24
25,Chi rub,11.21,1675.6,45.3,1630.3,889.6,41.8,847.8,0.52,5.83,5.18,0,6.03,1.51,,25
26,Chi rub,10.57,1686.6,45.3,1641.3,849.8,41.8,808,0.49,5.2,2.85,0,3.66,0.91,,26
27,Chi rub,7.26,1185.3,45.3,1140,631.1,41.8,589.3,0.52,3.75,3.6,0,4.19,1.05,,27
28,Carex,2.34,240,45.3,194.7,147.6,41.8,105.8,0.54,1.27,,0,0.11,0.11,,28
29,Carex,2.37,294,45.3,248.7,181.5,41.8,139.7,0.56,1.33,,0,0.14,0.14,,29
30,Carex,2.75,447.2,45.3,401.9,257.1,41.8,215.3,0.54,1.47,,0,0.22,0.22,,30
31,Carex,2.58,486.8,45.3,441.5,289,41.8,247.2,0.56,1.44,,0,0.25,0.25,,31
32,Carex,2.56,478.2,45.3,432.9,273.1,41.8,231.3,0.53,1.37,,0,0.23,0.23,,32
33,Carex,2.3,601.2,45.3,555.9,320.5,41.8,278.7,0.5,1.15,,0,0.28,0.28,,33
34,Carex,1.91,421.5,45.3,376.2,247.8,41.8,206,0.55,1.05,,0,0.21,0.21,,34
35,Carex,2.05,552.2,45.3,506.9,330.4,41.8,288.6,0.57,1.17,,0,0.29,0.29,,35
36,Carex,1.7,508.8,45.3,463.5,308,41.8,266.2,0.57,0.98,,0,0.27,0.27,,36
37,Carex,1.95,460.1,45.3,414.8,282.6,41.8,240.8,0.58,1.13,,0,0.24,0.24,,37
38,Carex,2.68,582.2,45.3,536.9,314,41.8,272.2,0.51,1.36,,0,0.27,0.27,,38
39,Carex,1.83,363.3,45.3,318,238.1,41.8,196.3,0.62,1.13,,0.06,0.26,0.26,,39
40,Carex,1.2,391.2,45.3,345.9,229.5,41.8,187.7,0.54,0.65,,0,0.19,0.19,,40
41,Carex,1.38,370.1,45.3,324.8,220.9,41.8,179.1,0.55,0.76,,0,0.18,0.18,,41
42,Carex,1.33,326.4,45.3,281.1,207.1,41.8,165.3,0.59,0.78,,0,0.17,0.17,,42
43,Carex,2.1,469.3,45.3,424,279.3,41.8,237.5,0.56,1.18,,0,0.24,0.24,,43
44,Carex,1.6,489.1,45.3,443.8,291.3,41.8,249.5,0.56,0.9,,0,0.25,0.25,,44
45,Carex,1.95,519.6,45.3,474.3,285,41.8,243.2,0.51,1,,0,0.24,0.24,,45
46,Carex,1.25,1256.2,45.3,1210.9,376.6,41.8,334.8,0.28,0.35,,0,0.33,0.33,,46
47,Carex,1.85,764.9,45.3,719.6,230.8,41.8,189,0.26,0.49,,0,0.19,0.19,,47
48,Carex,0.8,826,45.3,780.7,272.2,41.8,230.4,0.3,0.24,,0,0.23,0.23,,48
49,Carex,1.2,1208.7,45.3,1163.4,379.4,41.8,337.6,0.29,0.35,,0,0.34,0.34,,49
50,Carex,1.43,1426.8,45.3,1381.5,456.5,41.8,414.7,0.3,0.43,,0,0.41,0.41,,50
51,Carex,2.51,776.1,45.3,730.8,271,41.8,229.2,0.31,0.79,,0,0.23,0.23,,51
52,Carex,1.83,660.7,45.3,615.4,234.4,41.8,192.6,0.31,0.57,,0,0.19,0.19,,52
53,Carex,1.77,663.7,45.3,618.4,250.2,41.8,208.4,0.34,0.6,,0,0.21,0.21,,53
54,Carex,1.62,853.5,45.3,808.2,314.1,41.8,272.3,0.34,0.55,,0,0.27,0.27,,54
55,Sch pau,3.61,580.3,45.3,535,311.5,41.8,269.7,0.5,1.82,,0,0.27,0.27,,55
56,Sch pau,3.49,558.5,45.3,513.2,274.1,41.8,232.3,0.45,1.58,,0,0.23,0.23,,56
57,Sch pau,3.98,632.2,45.3,586.9,322.6,41.8,280.8,0.48,1.9,,0,0.28,0.28,,57
58,Sch pau,4.14,637.3,45.3,592,348.7,41.8,306.9,0.52,2.15,,0,0.31,0.31,,58
59,Sch pau,3.79,614.3,45.3,569,305.6,41.8,263.8,0.46,1.76,,0,0.26,0.26,,59
60,Sch pau,3.97,637.3,45.3,592,343,41.8,301.2,0.51,2.02,,0,0.3,0.3,,60
61,Sch pau,4.29,717.6,45.3,672.3,401.5,41.8,359.7,0.53,2.29,,0,0.36,0.36,,61
62,Sch pau,3.59,808.9,45.3,763.6,425.4,41.8,383.6,0.5,1.8,,0,0.38,0.38,,62
63,Sch pau,2.33,618.5,45.3,573.2,342.7,41.8,300.9,0.52,1.22,,0,0.3,0.3,,63
64,Sch pau,2.31,560.8,45.3,515.5,310.1,41.8,268.3,0.52,1.2,,0,0.27,0.27,,64
65,Sch pau,3.16,572.6,45.3,527.3,317.6,41.8,275.8,0.52,1.65,,0,0.28,0.28,,65
66,Sch pau,2.9,630.5,45.3,585.2,333,41.8,291.2,0.5,1.44,,0,0.29,0.29,,66
67,Sch pau,3.13,816.7,45.3,771.4,436,41.8,394.2,0.51,1.6,,0,0.39,0.39,,67
68,Sch pau,2.21,413.1,45.3,367.8,243.8,41.8,202,0.55,1.21,,0,0.2,0.2,,68
69,Sch pau,2.89,557.2,45.3,511.9,308.9,41.8,267.1,0.52,1.51,,0,0.27,0.27,,69
70,Sch pau,2.47,559.8,45.3,514.5,322.3,41.8,280.5,0.55,1.35,,0,0.28,0.28,,70
71,Sch pau,2.84,654.9,45.3,609.6,348.3,41.8,306.5,0.5,1.43,,0,0.31,0.31,,71
72,Sch pau,2.85,715.2,45.3,669.9,418.5,41.8,376.7,0.56,1.6,,0,0.377,0.38,,72
73,Sch pau,3.63,866.1,45.3,820.8,480.7,41.8,438.9,0.53,1.94,,0,0.439,0.439,,73
74,Sch pau,3.01,724.5,45.3,679.2,408.4,41.8,366.6,0.54,1.62,,0,0.37,0.37,,74
75,Sch pau,2.95,841.5,45.3,796.2,467.6,41.8,425.8,0.53,1.58,,0,0.43,0.43,,75
76,Sch pau,2.63,692.9,45.3,647.6,390.8,41.8,349,0.54,1.42,,0,0.35,0.35,,76
77,Sch pau,2.5,532.6,45.3,487.3,446.8,41.8,405,0.83,2.08,,0,0.4,0.4,,77
78,Sch pau,2.4,733,45.3,687.7,430.4,41.8,388.6,0.56,1.36,,0,0.39,0.39,,78
79,Sch pau,2.58,813.1,45.3,767.8,455.8,41.8,414,0.54,1.39,,0,0.41,0.41,,79
80,Sch pau,2.79,660.4,45.3,615.1,382.9,41.8,341.1,0.55,1.55,,0,0.34,0.34,,80
81,Sch pau,3.02,973.5,45.3,928.2,496.8,41.8,455,0.49,1.48,,0,0.45,0.45,,81
