Ashburton Lakes weight of vegetation harvest subsample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab team:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet weight ,,Wet weight 1,Wet weight 2,Wet weight 3,Average wet weight (g),,Dry weight ,Dry weight 1,Dry weight 2,Dry weight 3,Average dry weight (g),,,,,,,,,,,,,,,,,,,,,
,Large bags,,45.1,45.1,45.6,45.3,,Large bags,41.6,41.7,42.2,41.8,,,,,,,,,,,,,,,,,,,,,
,Small bags,,23.8,23.8,23.8,23.8,,Small bags,21.7,21.8,21.7,21.7,,,,,,,,,,,,,,,,,,,,,
,Envelopes,,4.6,4.6,4.6,4.6,,Envelopes,4.4,4.5,4.4,4.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,conversion of wet to dry wt,Chirub adjustment for unseparated dead material,Biomass for additional species where these had been separately sampled.,plus other species and subsample,conversion to m2,,,,,,,,,,,,,,,,,,,
Plot:,Main vegetation type,Total plot harvest wet weight kg,Subsample bag + wet weight (g),Subsample wet weight bag only               (g),Subsample wet weight veg               (g),Subsample bag + dry weight                      (g),Subsample dry weight bag only               (g),Subsample dry weight plants                        (g),Ratio of dry to wet weight,Total plot harvest wet weight (kg) * dry:wet weight ratio,Net live Chi rub dry biomass (kg) per plot,Dry weight other species (kg) per plot,Net live dry biomass (kg) per plot,Dry weight biomass (kg) per m2,,Plot:,Other species,Bag + wet weight (g),Wet weight bag only               (g),Wet weight veg               (g),Bag + dry weight (g),Dry weight bag only               (g),Dry weight other species (g),Ratio wet:dry weight (ratio:1),,Plot:,Dry live and dead veg ,Dry weight bag + live and dead plants            (g),Dry weight bag + live plants only               (g),Dry weight bag               (g),Dry Weight live and dead plants (g),Dry weight live plants only               (g),Ratio of live to total live and dead biomass
1,Chi rub,68.35,663.1,45.3,617.8,324.8,41.8,283.0,0.46,31.30,28.27,0.072,28.63,7.16,,1,other,159.4,23.8,135.6,93.8,21.7,72.1,1.7,,1,Chi rub sorted,324.8,297.4,41.8,283.0,255.6,0.90
2,Chi rub,25.07,846.6,45.3,801.3,464.0,41.8,422.2,0.53,13.21,8.70,0.02,9.14,2.29,,2,additional,91.9,23.8,68.1,43.7,21.7,22.0,2.1,,2,Chi rub sorted,464.0,319.9,41.8,422.2,278.1,0.66
3,Chi rub,21.92,1299.1,45.3,1253.8,667.2,41.8,625.4,0.50,10.93,7.52,0.05,8.19,2.05,,3,additional,159.4,23.8,135.6,70.6,21.7,48.9,2.3,,3,Chi rub sorted,667.2,471.7,41.8,625.4,429.9,0.69
4,Chi rub,34.47,903.9,45.3,858.6,451.5,41.8,409.7,0.48,16.45,10.85,0.00,11.26,2.82,,4,,,,,,,,,,4,Chi rub sorted,451.5,312.2,41.8,409.7,270.4,0.66
5,Chi rub,31.20,1064.7,45.3,1019.4,533.9,41.8,492.1,0.48,15.06,9.98,0.00,10.47,2.62,,5,,,,,,,,,,5,Chi rub sorted,533.9,368,41.8,492.1,326.2,0.66
6,Chi rub,28.71,1201.9,45.3,1156.6,550.0,41.8,508.2,0.44,12.61,7.69,0.00,8.20,2.05,,6,,,,,,,,,,6,Chi rub sorted,550.0,351.7,41.8,508.2,309.9,0.61
7,Chi rub,33.60,1516.1,45.3,1470.8,715.8,41.8,674.0,0.46,15.40,8.05,0.00,8.72,2.18,,7,,,,,,,,,,7,Chi rub sorted,715.8,394.2,41.8,674.0,352.4,0.52
8,Chi rub,33.05,1687.8,45.3,1642.5,730.3,41.8,688.5,0.42,13.85,10.47,0.00,11.15,2.79,,8,,,,,,,,,,8,Chi rub sorted,730.3,562,41.8,688.5,520.2,0.76
9,Chi rub,18.20,1285.0,45.3,1239.7,604.9,41.8,563.1,0.45,8.27,3.05,0.00,3.61,0.90,,9,,,,,,,,,,9,Chi rub sorted,604.9,249.7,41.8,563.1,207.9,0.37
10,Chi rub,20.63,1062.4,45.3,1017.1,536.5,41.8,494.7,0.49,10.03,5.39,0.00,5.88,1.47,,10,,,,,,,,,,10,Chi rub sorted,536.5,307.4,41.8,494.7,265.6,0.54
11,Chi rub,19.02,1511.3,45.3,1466.0,746.3,41.8,704.5,0.48,9.14,4.96,0.00,5.66,1.42,,11,,,,,,,,,,11,Chi rub sorted,746.3,424,41.8,704.5,382.2,0.54
12,Chi rub,21.53,1097.3,45.3,1052.0,546.4,41.8,504.6,0.48,10.33,5.60,0.00,6.10,1.53,,12,,,,,,,,,,12,Chi rub sorted,546.4,315.4,41.8,504.6,273.6,0.54
13,Chi rub,14.08,1025.4,45.3,980.1,572.9,41.8,531.1,0.54,7.63,6.08,0.00,6.62,1.65,,13,,,,,,,,,,13,Chi rub sorted,572.9,465.4,41.8,531.1,423.6,0.80
14,Chi rub,12.49,1102.8,45.3,1057.5,595.1,41.8,553.3,0.52,6.53,5.87,0.00,6.42,1.60,,14,,,,,,,,,,14,Chi rub sorted,595.1,538.5,41.8,553.3,496.7,0.90
15,Chi rub,18.35,1282.7,45.3,1237.4,741.1,41.8,699.3,0.57,10.37,5.13,0.00,5.83,1.46,,15,,,,,,,,,,15,Chi rub sorted,741.1,387.8,41.8,699.3,346.0,0.49
16,Chi rub,18.70,1167.7,45.3,1122.4,662.8,41.8,621.0,0.55,10.35,7.87,0.00,8.49,2.12,,16,,,,,,,,,,16,Chi rub sorted,662.8,514.4,41.8,621.0,472.6,0.76
17,Chi rub,15.98,1420.9,45.3,1375.6,710.5,41.8,668.7,0.49,7.77,6.74,0.00,7.40,1.85,,17,,,,,,,,,,17,Chi rub sorted,710.5,621.7,41.8,668.7,579.9,0.87
18,Chi rub,11.51,915.6,45.3,870.3,497.5,41.8,455.7,0.52,6.03,5.04,0.00,5.49,1.37,,18,,,,,,,,,,18,Chi rub sorted,497.5,422.7,41.8,455.7,380.9,0.84
19,Chi rub,9.08,972.6,45.3,927.3,529,41.8,487.2,0.53,4.77,4.20,0.00,4.68,1.17,,19,,,,,,,,,,19,Chi rub sorted,529.0,470.5,41.8,487.2,428.7,0.88
20,Chi rub,17.44,1360.1,45.3,1314.8,707.8,41.8,666.0,0.51,8.83,7.39,0.00,8.06,2.01,,20,,,,,,,,,,20,Chi rub sorted,707.8,599,41.8,666.0,557.2,0.84
21,Chi rub,2.99,1412.5,45.3,1367.2,704.7,41.8,662.9,0.48,1.45,1.25,0.00,1.91,0.48,,21,,,,,,,,,,21,Chi rub sorted,704.7,612,41.8,662.9,570.2,0.86
22,Chi rub,17.09,1542.1,45.3,1496.8,792.4,41.8,750.6,0.50,8.57,8.32,0.00,9.07,2.27,,22,,,,,,,,,,22,Chi rub sorted,792.4,770.4,41.8,750.6,728.6,0.97
23,Chi rub,6.92,1695.3,45.3,1650.0,940.1,41.8,898.3,0.54,3.77,3.44,0.00,4.34,1.08,,23,,,,,,,,,,23,Chi rub sorted,940.1,862.1,41.8,898.3,820.3,0.91
24,Chi rub,8.30,1251.8,45.3,1206.5,649,41.8,607.2,0.50,4.18,2.71,0.00,3.32,0.83,,24,,,,,,,,,,24,Chi rub sorted,649.0,435.9,41.8,607.2,394.1,0.65
25,Chi rub,11.21,1675.6,45.3,1630.3,889.6,41.8,847.8,0.52,5.83,5.18,0.00,6.03,1.51,,25,,,,,,,,,,25,Chi rub sorted,889.6,795.1,41.8,847.8,753.3,0.89
26,Chi rub,10.57,1686.6,45.3,1641.3,849.8,41.8,808.0,0.49,5.20,2.85,0.00,3.66,0.91,,26,,,,,,,,,,26,Chi rub sorted,849.8,484.2,41.8,808.0,442.4,0.55
27,Chi rub,7.26,1185.3,45.3,1140.0,631.1,41.8,589.3,0.52,3.75,3.60,0.00,4.19,1.05,,27,,,,,,,,,,27,Chi rub sorted,631.1,607.8,41.8,589.3,566.0,0.96
28,Carex,2.34,240.0,45.3,194.7,147.6,41.8,105.8,0.54,1.27,,0.00,0.11,0.11,,28,,,,,,,,,,,,,,,,,
29,Carex,2.37,294.0,45.3,248.7,181.5,41.8,139.7,0.56,1.33,,0.00,0.14,0.14,,29,,,,,,,,,,,,,,,,,
30,Carex,2.75,447.2,45.3,401.9,257.1,41.8,215.3,0.54,1.47,,0.00,0.22,0.22,,30,,,,,,,,,,,,,,,,,
31,Carex,2.58,486.8,45.3,441.5,289.0,41.8,247.2,0.56,1.44,,0.00,0.25,0.25,,31,,,,,,,,,,,,,,,,,
32,Carex,2.56,478.2,45.3,432.9,273.1,41.8,231.3,0.53,1.37,,0.00,0.23,0.23,,32,,,,,,,,,,,,,,,,,
33,Carex,2.30,601.2,45.3,555.9,320.5,41.8,278.7,0.50,1.15,,0.00,0.28,0.28,,33,,,,,,,,,,,,,,,,,
34,Carex,1.91,421.5,45.3,376.2,247.8,41.8,206.0,0.55,1.05,,0.00,0.21,0.21,,34,,,,,,,,,,,,,,,,,
35,Carex,2.05,552.2,45.3,506.9,330.4,41.8,288.6,0.57,1.17,,0.00,0.29,0.29,,35,,,,,,,,,,,,,,,,,
36,Carex,1.70,508.8,45.3,463.5,308.0,41.8,266.2,0.57,0.98,,0.00,0.27,0.27,,36,,,,,,,,,,,,,,,,,
37,Carex,1.95,460.1,45.3,414.8,282.6,41.8,240.8,0.58,1.13,,0.00,0.24,0.24,,37,,,,,,,,,,,,,,,,,
38,Carex,2.68,582.2,45.3,536.9,314.0,41.8,272.2,0.51,1.36,,0.00,0.27,0.27,,38,,,,,,,,,,,,,,,,,
39,Carex,1.83,363.3,45.3,318.0,238.1,41.8,196.3,0.62,1.13,,0.06,0.26,0.26,,39,Juncus effusus,142.9,23.8,119.1,83.2,21.7,61.5,1.7,,,,,,,,,
40,Carex,1.20,391.2,45.3,345.9,229.5,41.8,187.7,0.54,0.65,,0.00,0.19,0.19,,40,,,,,,,,,,,,,,,,,
41,Carex,1.38,370.1,45.3,324.8,220.9,41.8,179.1,0.55,0.76,,0.00,0.18,0.18,,41,,,,,,,,,,,,,,,,,
42,Carex,1.33,326.4,45.3,281.1,207.1,41.8,165.3,0.59,0.78,,0.00,0.17,0.17,,42,,,,,,,,,,,,,,,,,
43,Carex,2.10,469.3,45.3,424.0,279.3,41.8,237.5,0.56,1.18,,0.00,0.24,0.24,,43,,,,,,,,,,,,,,,,,
44,Carex,1.60,489.1,45.3,443.8,291.3,41.8,249.5,0.56,0.90,,0.00,0.25,0.25,,44,,,,,,,,,,,,,,,,,
45,Carex,1.95,519.6,45.3,474.3,285.0,41.8,243.2,0.51,1.00,,0.00,0.24,0.24,,45,,,,,,,,,,,,,,,,,
46,Carex,1.25,1256.2,45.3,1210.9,376.6,41.8,334.8,0.28,0.35,,0.00,0.33,0.33,,46,,,,,,,,,,,,,,,,,
47,Carex,1.85,764.9,45.3,719.6,230.8,41.8,189.0,0.26,0.49,,0.00,0.19,0.19,,47,,,,,,,,,,,,,,,,,
