"Depths","Aciphylla type","Aristotelia","Asteraceae undiff.","Carpodetus serratus","Celmisia type","Chenopodiaceae","Coprosma","Cordyline","Coriaria","Dacrycarpus dacrydioides","Dacrydium cupressinum","Discaria toumatou","Dodonaea viscosa","Dracophyllum undiff.","Elaeocarpus","Empodisma","Fuscospora","Gaultheria type","Griselinia","Halocarpus","Hebe","Hoheria angustifolia","Hoheria lyallii type","Lepidothamnus","Leucopogon suaveolens","Libocedrus","Melicytus","Metrosideros undiff.","Muehlenbeckia","Myoporum","Myrsine","Neomyrtus","Nothofagus menziesii","Olearia colensoi","Olearia type","Phyllocladus","Pittosporum","Plagianthus","Poaceae <40 um","Poaceae >40 um","Podocarpus","Prumnopitys ferruginea","Prumnopitys taxifolia","Pseudopanax anomalous type","Pseudopanax colensoi type","Pseudopanax undiff.","Pseudowintera","Pteridium esculentum","Raoulia","Rubus squarrosa type","Rubus undiff.","Streblus","Taraxacum type","Urticaceae","Weinmannia"
0,0,0,0,0,0,0,1.5151515007019,0,0,1.5151515007019,0.757575750350952,0,0,0.378787875175476,0,3.31950211524963,56.4393920898438,0,0.378787875175476,4.92424249649048,0,0,0,0.378787875175476,0.378787875175476,0,0,0,0,0,0.757575750350952,0,7.95454549789429,0,0,1.13636362552643,0,0,8.33333301544189,0,0.378787875175476,1.5151515007019,0.757575750350952,0,0,0.378787875175476,0,9.09090900421143,0,0,0,0,0,0,0
10,0,0,0,0,0,0,3.41463422775269,0,0,1.46341466903687,0.487804889678955,0,0,0.487804889678955,0,1.32743358612061,65.365852355957,0,0,3.90243911743164,0,0,0,0,0.97560977935791,0,0,0,0.487804889678955,0,0,0,3.41463422775269,0,0,0,0,0,7.31707334518433,1.95121955871582,0,2.92682933807373,0,0,0,0,0,2.92682933807373,0.487804889678955,0,0,0,0.487804889678955,0,0
20,0,0,0,0,0,0,2.86885237693787,0,0,0.409836053848267,1.63934421539307,0,0,0.819672107696533,0,0.867976248264313,52.0491790771484,0,0,10.6557378768921,0,0,0,0,0,0.409836053848267,0,0,0.409836053848267,0,0,0,5.73770475387573,0,0,0,0,0,9.8360652923584,6.14754104614258,0.819672107696533,1.63934421539307,0,0,0,0,0,2.4590163230896,0,0,0,0,0,0,0
32,0,0,0,0,0,0,2.84090900421143,0,0,1.70454549789429,0.568181812763214,0,0,0,0,1.64141416549683,69.3181838989258,0,0,1.13636362552643,0,0,0,0,0,0,0,0,0,0,0,0,3.40909099578857,0,0,0,0,0.568181812763214,7.38636350631714,3.97727274894714,0,1.70454549789429,0.568181812763214,0,0,0,0,3.97727274894714,0,0,0,0,0.568181812763214,0,0
40,0.30959752202034,0,0,0,0,0,0.687285244464874,0,0,0.687285244464874,0.343642622232437,0,0,0,0,3.40557265281677,53.9518890380859,0,0,0.343642622232437,0,0,0,0,0,0,0,0,0,0,0,0,4.12371110916138,0,0,0.687285244464874,0,0,0.687285244464874,0.343642622232437,0.687285244464874,1.71821308135986,0,0,0,0,0,35.3951873779297,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0.934579432010651,0,0,0.467289716005325,1.8691588640213,0,0,3.7383177280426,0,0,70.5607452392578,0,0,0.467289716005325,0,0,0,0,0,0,0,0,0,0,0,0,5.60747671127319,0,0,0,0,0,1.4018691778183,0,0,0.934579432010651,0.934579432010651,0,0,0,0,11.682243347168,0.934579432010651,0,0,0,0,0,0
60,0,0,0.471698105335236,0,0,0.375234514474869,1.88679242134094,0,1.88679242134094,0.471698105335236,1.41509437561035,0,0,2.8301887512207,0,5.62851762771606,66.5094375610352,0,0,0,0,0,0,0.471698105335236,1.41509437561035,0,0,0.235849052667618,0,0,0,0,6.13207530975342,0,0,0.471698105335236,0,0,0.943396210670471,1.41509437561035,0,1.41509437561035,0.471698105335236,0,0,0.235849052667618,0,10.3773584365845,0.471698105335236,0,0,0,0,0,0.471698105335236
70,0.333333343267441,0,0,0,0,0,0.349650353193283,0,0,0.699300706386566,5.24475526809692,0,0,4.19580411911011,0,0.333333343267441,74.1258773803711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94405603408813,0,0,0.174825176596642,0,0,0.349650353193283,0,0,4.19580411911011,0.349650353193283,0,0,0,0,4.19580411911011,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0.7843137383461,0,0,0.39215686917305,5.09803915023804,0,0,0.39215686917305,0,0.172117039561272,72.5490188598633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5490198135376,0,0,0,0,0.39215686917305,0,0,0,6.66666650772095,1.17647063732147,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0.947867274284363,0,0,0,5.68720388412476,0,0,0,0,0,80.0947875976562,0,0,0.473933637142181,0,0,0,0,0,0,0,0.473933637142181,0.473933637142181,0,0,0,7.5829381942749,0,0,0.473933637142181,0,0,0.473933637142181,0.473933637142181,0,1.89573454856873,0.473933637142181,0,0,0.236966818571091,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0.330033004283905,0.686106324195862,0,0,0,8.91938209533691,0,0,0,0,0.165016502141953,60.3773574829102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4373931884766,0,0,0,0,0,0,0,0.343053162097931,9.60548877716064,4.11663818359375,0,0,0,0,0.343053162097931,0,0,0.171526581048965,0,0,0,0
110,0,0,0,0,0,0,0.405679523944855,0,0,0.811359047889709,5.27383375167847,0,0,0.405679523944855,0,0,63.286003112793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202839761972427,0,21.9066944122314,0,0,0.811359047889709,0,0,0,0,0.202839761972427,6.08519268035889,0.202839761972427,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0.383877158164978,0,0,0.383877158164978,3.07101726531982,0,0,0.191938579082489,0,0.379506647586823,71.0172729492188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383877158164978,0,16.5067176818848,0,0,0,0,0,0.383877158164978,0,0.383877158164978,4.22264862060547,2.68714022636414,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0.185873612761497,0,0,1.48698890209198,11.8959112167358,0,0.185873612761497,0,0,0,34.2007446289062,0,0,0,0,0,0,0,0,0,0,0.185873612761497,0,0,0,0,37.5464668273926,0,0,0.185873612761497,0,0.185873612761497,0,0.371747225522995,0.371747225522995,10.0371751785278,2.97397780418396,0,0,0,0,0,0.185873612761497,0,0,0,0,0,0
140,0,0,0,0,0,0,0.378787875175476,0,0,1.5151515007019,6.06060600280762,0.378787875175476,0,0.757575750350952,0,0,32.575756072998,0,0,0,0,0,0,0.189393937587738,0,0,0,0,0,0,0.378787875175476,0,43.1818199157715,0,0,0.757575750350952,0,0,0,0,0,10.2272729873657,3.40909099578857,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0.203252032399178,0,0,0,0,0.406504064798355,0,0,1.62601625919342,4.47154474258423,0,0,0,0,0.398406386375427,22.7642269134521,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203252032399178,0,50.8130073547363,0,0,0.406504064798355,0,0,0,0.406504064798355,1.21951222419739,12.6016263961792,4.47154474258423,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,1.20967745780945,6.45161294937134,0,0,0.806451618671417,0,0,36.2903213500977,0,0,0,0,0,0,0,0,0,0,0.403225809335709,0,0,0,0,31.4516124725342,0,0,16.5322589874268,0,0,0,0,0,5.64516115188599,0.403225809335709,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0.412371128797531,0,0,1.23711335659027,9.48453617095947,0,0,1.23711335659027,0,2.40480971336365,12.3711338043213,0,0,0,0,0,0,0,0.412371128797531,0,0,0,0,0,0.412371128797531,0,52.3711357116699,0,0,1.64948451519012,0,0,0,0,0,16.4948444366455,3.7113401889801,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,1.25260961055756,19.2066802978516,0,0,0,0,1.63599181175232,8.35073089599609,0,0,0.417536526918411,0,0,0,0,0,0,0,0.417536526918411,0.417536526918411,0,0.835073053836823,0,45.0939445495605,0,0,1.67014610767365,0,0,0,0,0.208768263459206,16.7014617919922,5.01043844223022,0,0,0.417536526918411,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0.406504064798355,0,0,2.43902444839478,11.3821134567261,0,0,0.406504064798355,0,0,7.72357702255249,0,0,0.406504064798355,0,0,0,0,0,0,0,0.81300812959671,0,0,0.81300812959671,0.203252032399178,51.6260147094727,0,0,2.43902444839478,0,0,0,0,0.406504064798355,17.8861789703369,2.43902444839478,0,0,0.406504064798355,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,1.99203193187714,0,0,1.19521915912628,15.5378484725952,0,0,2.7888445854187,0,0.395256906747818,4.78087663650513,0,0,0.199203193187714,0,0,0,0,0,0,0,0,0,0,0.199203193187714,0,57.3705177307129,0,0,1.59362554550171,0,0.398406386375427,0,0,0,11.5537853240967,2.39043831825256,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,1.26582276821136,0,0.421940922737122,2.53164553642273,21.5189876556396,0,0,2.1097047328949,0,2.04918026924133,3.37552738189697,0,0,0,0,0,0,0,0,0,0,0.421940922737122,0,0,0.421940922737122,0,39.2405052185059,0,0,0.421940922737122,0,0,0.421940922737122,0,0,24.0506324768066,3.79746842384338,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0.380952388048172,0.380952388048172,0,0,0,0.761904776096344,0,0,0.761904776096344,21.7142848968506,0.190476194024086,0,1.14285719394684,0,1.31795716285706,1.90476191043854,0,0,0.380952388048172,0,0,0,0,0,0,0,0,0,0,1.14285719394684,0,30.0952377319336,0,0,1.52380955219269,0,0,0,0,2.28571438789368,24,12.5714282989502,0.380952388048172,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0.790513813495636,0,0,2.37154150009155,13.8339920043945,0,0,0,0,0.370370358228683,3.95256924629211,0,0,0.395256906747818,0,0,0,0,0,0,0,0,0,0,0.395256906747818,0,54.1501960754395,0,0,1.18577075004578,0.395256906747818,0.395256906747818,0,0,0.395256906747818,16.9960479736328,4.74308300018311,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0.414937764406204,0,0,2.07468891143799,15.3526973724365,0,0,0,0,0.275482088327408,1.65975105762482,0,0,0.414937764406204,0,0,0,0,0,0,0,0,0,0,0,0,35.6846466064453,0,0,1.65975105762482,0.207468882203102,0,0,0.414937764406204,0.829875528812408,31.9502067565918,9.12863063812256,0,0,0,0,0,0,0,0.207468882203102,0,0,0,0
250,0,0,0,0,0,0,1.68067228794098,0,0,3.78151249885559,13.0252103805542,0,0,0,0,0.280112057924271,0.210084035992622,0,0,0.210084035992622,0,0,0,0,0,0,0,0,0,0,0.210084035992622,0,42.8571434020996,0,0,1.26050424575806,0,0,0.420168071985245,0.210084035992622,2.1008403301239,28.5714282989502,4.62184858322144,0.210084035992622,0,0,0,0,0,0,0.420168071985245,0,0,0,0
260,0,0,0,0,0,0,0,0,0,1.94552528858185,24.5136184692383,0,0,0,0.389105051755905,1.51133501529694,0.77821010351181,0,0,0.389105051755905,0,0,0,0,0,0,0,0.194552525877953,0.389105051755905,0,1.16731512546539,0,25.6809329986572,0,0,5.83657598495483,0.389105051755905,0,0,0,0.389105051755905,24.5136184692383,11.6731519699097,0.389105051755905,0,0,0,0,0,0,0.389105051755905,0,0,0,0.194552525877953
270,0,0,0,0,0,0,0.760456264019012,0,0,2.28136873245239,19.7718639373779,0,0,0,0,9.78792858123779,0,0,0,0,0,0,0,2.28136873245239,0,0,0,0.190114066004753,0,0,0.760456264019012,0.380228132009506,34.6007614135742,0,0,1.52091252803802,0,0,0.190114066004753,0,0.760456264019012,20.9125480651855,15.2091255187988,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0.744878947734833,0,0,3.72439479827881,23.0912475585938,0,0,0,0,5.87275695800781,1.11731839179993,0,0,0.372439473867416,0,0,0,0,0,0,0,0.186219736933708,0,0,0.744878947734833,0,20.4841709136963,0,0,4.46927356719971,0,0,0,0,3.35195541381836,25.3258838653564,16.387336730957,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,1.20000004768372,0,0,2.40000009536743,23.6000003814697,0,0,0,0,7.21311473846436,0.400000005960464,0,0,0.400000005960464,0,0,0,0.800000011920929,0,0,0,0,0,0,0.400000005960464,0,22.3999996185303,0,0,4.80000019073486,0,0,0,0,2.40000009536743,28,12.8000001907349,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0.393700778484344,0,0,2.36220479011536,26.7716541290283,0,0,0,0,11.2540197372437,0.787401556968689,0,0,0,0,0,0,0.787401556968689,0.393700778484344,0,0,0,0,0,0.393700778484344,0,24.803150177002,0,0,4.72440958023071,0,0,0,0,1.57480311393738,22.8346462249756,13.3858270645142,0.393700778484344,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0.858369112014771,0,0,1.28755366802216,23.1759662628174,0,0,0,0.429184556007385,9.47368431091309,0.429184556007385,0,0,0,0,0,0,0.858369112014771,0,0,0,0,0,0,0.858369112014771,0,26.1802577972412,0,0.429184556007385,1.71673822402954,0.429184556007385,0,0,0,1.28755366802216,29.184549331665,12.0171670913696,0,0.429184556007385,0,0,0,0,0,0.429184556007385,0,0,0,0
