"FullNames2","category"
"Aciphylla type","H"
"Aristotelia","T"
"Asteraceae undiff.","S"
"Carpodetus serratus","T"
"Celmisia type","H"
"Chenopodiaceae","H"
"Coprosma","S"
"Cordyline","T"
"Coriaria","S"
"Dacrycarpus dacrydioides","C"
"Dacrydium cupressinum","C"
"Discaria toumatou","S"
"Dodonaea viscosa","T"
"Dracophyllum undiff.","S"
"Elaeocarpus","T"
"Empodisma","H"
"Fuscospora","B"
"Gaultheria type","S"
"Griselinia","T"
"Halocarpus","C"
"Hebe","S"
"Hoheria angustifolia","T"
"Hoheria lyallii type","T"
"Lepidothamnus","C"
"Leucopogon suaveolens","S"
"Libocedrus","C"
"Melicytus","T"
"Metrosideros undiff.","T"
"Muehlenbeckia","S"
"Myoporum","T"
"Myrsine","S"
"Neomyrtus","T"
"Nothofagus menziesii","B"
"Olearia colensoi","S"
"Olearia type","S"
"Phyllocladus","C"
"Pittosporum","T"
"Plagianthus","T"
"Poaceae <40 um","H"
"Poaceae >40 um","H"
"Podocarpus","C"
"Prumnopitys ferruginea","C"
"Prumnopitys taxifolia","C"
"Pseudopanax anomalous type","S"
"Pseudopanax colensoi type","T"
"Pseudopanax undiff.","T"
"Pseudowintera","T"
"Pteridium esculentum","H"
"Raoulia","H"
"Rubus squarrosa type","S"
"Rubus undiff.","S"
"Streblus","T"
"Taraxacum type","H"
"Urticaceae","H"
"Weinmannia","T"
